"COUNTRY","POPULATION (M)","GDP (B, USD)","G20 RANK","OECD RANK","ASIA RANK","OVERALL RANK","POST CITY","POST COUNTRY","TYPE OF POST","POST TYPE TITLE"
"Chile","17.9","247","","16","","22","Montevideo","Uruguay","Embassy / High Commission","Embassy and Mission to ALADI"
"Chile","17.9","247","","16","","22","Holy See","Vatican City State","Embassy / High Commission","Embassy"
"Chile","17.9","247","","16","","22","Caracas","Venezuela Bolivarian Republic of","Embassy / High Commission","Embassy"
"Chile","17.9","247","","16","","22","Hanoi","Vietnam","Embassy / High Commission","Embassy"
"Chile","17.9","247","","16","","22","Bahia Blanca","Argentina","Consulate / Consulate-General","Consulate"
"Chile","17.9","247","","16","","22","Bariloche","Argentina","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Buenos Aires","Argentina","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Comodoro Rivadavia","Argentina","Consulate / Consulate-General","Consulate"
"Chile","17.9","247","","16","","22","Cordoba","Argentina","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Mar del Plata","Argentina","Consulate / Consulate-General","Consulate"
"Chile","17.9","247","","16","","22","Mendoza","Argentina","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Neuquen","Argentina","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Rio Gallegos","Argentina","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Rio Grande","Argentina","Consulate / Consulate-General","Consulate"
"Chile","17.9","247","","16","","22","Rosario","Argentina","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Salta","Argentina","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Ushuaia","Argentina","Consulate / Consulate-General","Consulate"
"Chile","17.9","247","","16","","22","Melbourne","Australia","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Sydney","Australia","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","La Paz","Bolivia Plurinational State of","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Santa Cruz","Bolivia Plurinational State of","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Porto Alegre","Brazil","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Rio de Janeiro","Brazil","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Sao Paolo","Brazil","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Montreal","Canada","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Toronto","Canada","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Vancouver","Canada","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Guangzhou","China","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Hong Kong","China","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Shanghai","China","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Bogota","Colombia","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Guayaquil","Ecuador","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Paris","France","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Frankfurt","Germany","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Hamburg","Germany","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Munich","Germany","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Milan","Italy","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Mexico City","Mexico","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Amsterdam","Netherlands","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Tacna","Peru","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Barcelona","Spain","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Madrid","Spain","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Gothenburg","Sweden","Consulate / Consulate-General","Consulate"
"Chile","17.9","247","","16","","22","Stockholm","Sweden","Consulate / Consulate-General","Consulate"
"Chile","17.9","247","","16","","22","London","United Kingdom","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Chicago","United States","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Houston","United States","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Los Angeles","United States","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Miami","United States","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","New York","United States","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","San Francisco","United States","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Montevideo","Uruguay","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Caracas","Venezuela Bolivarian Republic of","Consulate / Consulate-General","Consulate-General"
"Chile","17.9","247","","16","","22","Puerto Ordaz","Venezuela Bolivarian Republic of","Consulate / Consulate-General","Consulate"
"Chile","17.9","247","","16","","22","Vienna","Austria","Permanent Mission","Mission to Int'l Orgs"
"Chile","17.9","247","","16","","22","Paris","France","Permanent Mission","Mission to OECD"
"Chile","17.9","247","","16","","22","Paris","France","Permanent Mission","Mission to UNESCO"
"Chile","17.9","247","","16","","22","Geneva","Switzerland","Permanent Mission","Mission to Int'l Orgs"
"Chile","17.9","247","","16","","22","Geneva","Switzerland","Permanent Mission","Mission to WTO and other Int'l Orgs"
"Chile","17.9","247","","16","","22","New York","United States","Permanent Mission","Mission to UN"
"Chile","17.9","247","","16","","22","Washington DC","United States","Permanent Mission","Mission to OAS"
"Chile","17.9","247","","16","","22","Ramallah","Palestine*","Other","Representative Office"
"China","1378.7","11199","2","","1","2","Kabul","Afghanistan","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Tirana","Albania","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Algiers","Algeria","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Luanda","Angola","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","St. John's","Antigua and Barbuda","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Buenos Aires","Argentina","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Yerevan","Armenia","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Canberra","Australia","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Vienna","Austria","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Baku","Azerbaijan","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Nassau","Bahamas","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Manama","Bahrain","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Dhaka","Bangladesh","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Christ Church","Barbados","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Minsk","Belarus","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Brussels","Belgium","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Cotonou","Benin","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","La Paz","Bolivia Plurinational State of","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Sarajevo","Bosnia and Herzegovina","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Gaborone","Botswana","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Brasilia","Brazil","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Bandar Seri Begawan","Brunei Darussalam","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Sofia","Bulgaria","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Bujumbura","Burundi","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Phnom Penh","Cambodia","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Yaounde","Cameroon","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Ottawa","Canada","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Praia","Cape Verde","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Bangui","Central African Republic","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","N'Djamena","Chad","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Santiago","Chile","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Bogota","Colombia","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Moroni","Comoros","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Brazzaville","Congo","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","San Jose","Costa Rica","Embassy / High Commission","Embassy"
