"post_city_country","send_country","post_city","post_country","post_type","post_title","send_country_iso","send_country_iso_num","post_country_iso","post_country_iso_num","send_lon","send_lat","post_city_lon","post_city_lat","full_geo_query","exact_post_lon","exact_post_lat"
"Abu Dhabi, United Arab Emirates","Poland","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","POL",616,"ARE",784,19.145136,51.919438,54.3773438,24.453884,"Poland, Embassy, Abu Dhabi, United Arab Emirates",54.3736778,24.4588156
"Abu Dhabi, United Arab Emirates","Brunei Darussalam","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","BRN",96,"ARE",784,114.727669,4.535277,54.3773438,24.453884,"Brunei Darussalam, Embassy, Abu Dhabi, United Arab Emirates",54.4121557,24.4274286
"Abu Dhabi, United Arab Emirates","France","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","FRA",250,"ARE",784,2.213749,46.227638,54.3773438,24.453884,"France, Embassy, Abu Dhabi, United Arab Emirates",54.3216963,24.4590155
"Abu Dhabi, United Arab Emirates","Netherlands","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","NLD",528,"ARE",784,5.291266,52.132633,54.3773438,24.453884,"Netherlands, Embassy, Abu Dhabi, United Arab Emirates",54.4408158,24.4176335
"Abu Dhabi, United Arab Emirates","Malaysia","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","MYS",458,"ARE",784,101.975766,4.210484,54.3773438,24.453884,"Malaysia, Embassy, Abu Dhabi, United Arab Emirates",54.394936,24.4879492
"Abu Dhabi, United Arab Emirates","Nepal","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","NPL",524,"ARE",784,84.124008,28.394857,54.3773438,24.453884,"Nepal, Embassy, Abu Dhabi, United Arab Emirates",54.3783748,24.4733604
"Abu Dhabi, United Arab Emirates","Switzerland","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","CHE",756,"ARE",784,8.227512,46.818188,54.3773438,24.453884,"Switzerland, Embassy, Abu Dhabi, United Arab Emirates",54.4407278,24.4176937
"Abu Dhabi, United Arab Emirates","Belgium","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","BEL",56,"ARE",784,4.469936,50.503887,54.3773438,24.453884,"Belgium, Embassy, Abu Dhabi, United Arab Emirates",54.3647796,24.4903009
"Abu Dhabi, United Arab Emirates","India","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","IND",356,"ARE",784,78.96288,20.593684,54.3773438,24.453884,"India, Embassy, Abu Dhabi, United Arab Emirates",54.4336039,24.4254817
"Abu Dhabi, United Arab Emirates","Chile","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","CHL",152,"ARE",784,-71.542969,-35.675147,54.3773438,24.453884,"Chile, Embassy, Abu Dhabi, United Arab Emirates",54.40588,24.4337226
"Abu Dhabi, United Arab Emirates","Czech Republic","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","CZE",203,"ARE",784,15.472962,49.817492,54.3773438,24.453884,"Czech Republic, Embassy, Abu Dhabi, United Arab Emirates",54.3182865,24.4731843
"Abu Dhabi, United Arab Emirates","Austria","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","AUT",40,"ARE",784,14.550072,47.516231,54.3773438,24.453884,"Austria, Embassy, Abu Dhabi, United Arab Emirates",54.4087434,24.4961163
"Abu Dhabi, United Arab Emirates","Finland","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","FIN",246,"ARE",784,25.7481511,61.92411,54.3773438,24.453884,"Finland, Embassy, Abu Dhabi, United Arab Emirates",54.3647796,24.4903009
"Abu Dhabi, United Arab Emirates","Turkey","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","TUR",792,"ARE",784,35.243322,38.963745,54.3773438,24.453884,"Turkey, Embassy, Abu Dhabi, United Arab Emirates",54.432333,24.4247887
"Abu Dhabi, United Arab Emirates","South Africa","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","ZAF",710,"ARE",784,22.937506,-30.559482,54.3773438,24.453884,"South Africa, Embassy, Abu Dhabi, United Arab Emirates",54.4122255,24.431767
"Abu Dhabi, United Arab Emirates","Portugal","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","PRT",620,"ARE",784,-8.224454,39.399872,54.3773438,24.453884,"Portugal, Embassy, Abu Dhabi, United Arab Emirates",54.318648,24.4763554
"Abu Dhabi, United Arab Emirates","New Zealand","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","NZL",554,"ARE",784,174.885971,-40.900557,54.3773438,24.453884,"New Zealand, Embassy, Abu Dhabi, United Arab Emirates",54.44092,24.420997
"Abu Dhabi, United Arab Emirates","Argentina","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","ARG",32,"ARE",784,-63.616672,-38.416097,54.3773438,24.453884,"Argentina, Embassy, Abu Dhabi, United Arab Emirates",54.3688971,24.4578146
"Abu Dhabi, United Arab Emirates","Slovak Republic","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","SVK",703,"ARE",784,19.699024,48.669026,54.3773438,24.453884,"Slovak Republic, Embassy, Abu Dhabi, United Arab Emirates",54.3477036,24.4595823
"Abu Dhabi, United Arab Emirates","Spain","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","ESP",724,"ARE",784,-3.74922,40.463667,54.3773438,24.453884,"Spain, Embassy, Abu Dhabi, United Arab Emirates",54.3848364,24.4717225
"Abu Dhabi, United Arab Emirates","Greece","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","GRC",300,"ARE",784,21.824312,39.074208,54.3773438,24.453884,"Greece, Embassy, Abu Dhabi, United Arab Emirates",54.4422721,24.4393773
"Abu Dhabi, United Arab Emirates","Canada","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","CAN",124,"ARE",784,-106.346771,56.130366,54.3773438,24.453884,"Canada, Embassy, Abu Dhabi, United Arab Emirates",54.382438,24.496498
"Abu Dhabi, United Arab Emirates","Japan","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","JPN",392,"ARE",784,138.252924,36.204824,54.3773438,24.453884,"Japan, Embassy, Abu Dhabi, United Arab Emirates",54.3646361,24.4587763
"Abu Dhabi, United Arab Emirates","Slovenia","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","SVN",705,"ARE",784,14.995463,46.151241,54.3773438,24.453884,"Slovenia, Embassy, Abu Dhabi, United Arab Emirates",54.3677273,24.4989275
"Abu Dhabi, United Arab Emirates","Thailand","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","THA",764,"ARE",784,100.992541,15.870032,54.3773438,24.453884,"Thailand, Embassy, Abu Dhabi, United Arab Emirates",54.4066106,24.4491887
"Abu Dhabi, United Arab Emirates","United Kingdom","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","GBR",826,"ARE",784,-3.435973,55.378051,54.3773438,24.453884,"United Kingdom, Embassy, Abu Dhabi, United Arab Emirates",54.3511818,24.4833772
"Abu Dhabi, United Arab Emirates","Norway","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","NOR",578,"ARE",784,8.468946,60.472024,54.3773438,24.453884,"Norway, Embassy, Abu Dhabi, United Arab Emirates",54.3211387,24.4591883
"Abu Dhabi, United Arab Emirates","Philippines","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","PHL",608,"ARE",784,121.774017,12.879721,54.3773438,24.453884,"Philippines, Embassy, Abu Dhabi, United Arab Emirates",54.4145934,24.4286446
"Abu Dhabi, United Arab Emirates","Hungary","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","HUN",348,"ARE",784,19.5033041,47.162494,54.3773438,24.453884,"Hungary, Embassy, Abu Dhabi, United Arab Emirates",54.3729311,24.4881884
"Abu Dhabi, United Arab Emirates","China","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","CHN",156,"ARE",784,104.195397,35.86166,54.3773438,24.453884,"China, Embassy, Abu Dhabi, United Arab Emirates",54.3711877,24.4409084
"Abu Dhabi, United Arab Emirates","Vietnam","Abu Dhabi","United Arab Emirates","Embassy / High Commission","Embassy","VNM",704,"ARE",784,108.277199,14.058324,54.3773438,24.453884,"Vietnam, Embassy, Abu Dhabi, United Arab Emirates",54.4021977,24.4322046
"Abuja, Nigeria","Australia","Abuja","Nigeria","Embassy / High Commission","High Commission","AUS",36,"NGA",566,133.775136,-25.274398,7.398574,9.0764785,"Australia, High Commission, Abuja, Nigeria",7.4839492,9.0838634
"Abuja, Nigeria","United Kingdom","Abuja","Nigeria","Embassy / High Commission","High Commission","GBR",826,"NGA",566,-3.435973,55.378051,7.398574,9.0764785,"United Kingdom, High Commission, Abuja, Nigeria",7.4837068,9.0766709
"Abuja, Nigeria","Brazil","Abuja","Nigeria","Embassy / High Commission","Embassy","BRA",76,"NGA",566,-51.92528,-14.235004,7.398574,9.0764785,"Brazil, Embassy, Abuja, Nigeria",7.4832555,9.0929365
"Abuja, Nigeria","Korea Republic of (South Korea)","Abuja","Nigeria","Embassy / High Commission","Embassy","KOR",410,"NGA",566,127.766922,35.907757,7.398574,9.0764785,"Korea Republic of (South Korea), Embassy, Abuja, Nigeria",7.4652039,9.0369494
"Abuja, Nigeria","Canada","Abuja","Nigeria","Embassy / High Commission","High Commission","CAN",124,"NGA",566,-106.346771,56.130366,7.398574,9.0764785,"Canada, High Commission, Abuja, Nigeria",7.4807754,9.0422772
"Abuja, Nigeria","China","Abuja","Nigeria","Embassy / High Commission","Embassy","CHN",156,"NGA",566,104.195397,35.86166,7.398574,9.0764785,"China, Embassy, Abuja, Nigeria",7.4807821,9.0420131
"Abuja, Nigeria","Portugal","Abuja","Nigeria","Embassy / High Commission","Embassy","PRT",620,"NGA",566,-8.224454,39.399872,7.398574,9.0764785,"Portugal, Embassy, Abuja, Nigeria",7.480837,9.094638
"Abuja, Nigeria","France","Abuja","Nigeria","Embassy / High Commission","Embassy","FRA",250,"NGA",566,2.213749,46.227638,7.398574,9.0764785,"France, Embassy, Abuja, Nigeria",7.4597725,9.0448192
"Abuja, Nigeria","Germany","Abuja","Nigeria","Embassy / High Commission","Embassy","DEU",276,"NGA",566,10.451526,51.165691,7.398574,9.0764785,"Germany, Embassy, Abuja, Nigeria",7.4824099,9.0981024
"Abuja, Nigeria","Austria","Abuja","Nigeria","Embassy / High Commission","Embassy","AUT",40,"NGA",566,14.550072,47.516231,7.398574,9.0764785,"Austria, Embassy, Abuja, Nigeria",7.5015719,9.0793835
"Abuja, Nigeria","Finland","Abuja","Nigeria","Embassy / High Commission","Embassy","FIN",246,"NGA",566,25.7481511,61.92411,7.398574,9.0764785,"Finland, Embassy, Abuja, Nigeria",7.5192913,9.0289992
"Abuja, Nigeria","Poland","Abuja","Nigeria","Embassy / High Commission","Embassy","POL",616,"NGA",566,19.145136,51.919438,7.398574,9.0764785,"Poland, Embassy, Abuja, Nigeria",7.4984559,9.1010715
"Abuja, Nigeria","Denmark","Abuja","Nigeria","Embassy / High Commission","Embassy","DNK",208,"NGA",566,9.501785,56.26392,7.398574,9.0764785,"Denmark, Embassy, Abuja, Nigeria",7.4829019,9.0804173
"Abuja, Nigeria","South Africa","Abuja","Nigeria","Embassy / High Commission","High Commission","ZAF",710,"NGA",566,22.937506,-30.559482,7.398574,9.0764785,"South Africa, High Commission, Abuja, Nigeria",7.462345,9.0464832
