"send_country","meta_population_millions","meta_gdp_usd_billions"
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Austria",8.8,456
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
"Bangladesh",161.4,274
