"send_country","rank_g20","rank_OECD","rank_asia","rank_overall"
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Spain",NA,6,NA,9
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
"Sri Lanka",NA,NA,13,46
